time,BTC,ETH,XRP
02-04-2020,6804.42,141.46,0.1785
03-04-2020,6743.68,141.48,0.1798
04-04-2020,6875.95,144.53,0.1816
05-04-2020,6781.64,142.82,0.1795
06-04-2020,7347.22,171.78,0.1985
07-04-2020,7201.57,164.7,0.1929
08-04-2020,7367.37,173.21,0.2023
09-04-2020,7294.55,169.89,0.1983
10-04-2020,6876.49,158.16,0.1878
11-04-2020,6887.6,158.55,0.189
12-04-2020,6913.76,158.81,0.1897
13-04-2020,6859.43,156.81,0.1882
14-04-2020,6879.44,158.64,0.1862
15-04-2020,6629.54,152.94,0.1805
16-04-2020,7114.55,172.6,0.1907
17-04-2020,7037.12,170.79,0.1886
18-04-2020,7264.29,187.85,0.1958
19-04-2020,7132.88,180.32,0.1893
20-04-2020,6842.45,170.65,0.1819
21-04-2020,6855.11,171.03,0.1838
22-04-2020,7135.41,183.02,0.1882
23-04-2020,7489.25,185.73,0.1925
24-04-2020,7509.44,187.66,0.1931
25-04-2020,7546.92,194.41,0.1946
26-04-2020,7701.35,197.62,0.1965
27-04-2020,7787.41,196.71,0.1978
28-04-2020,7760.32,196.88,0.215
29-04-2020,8784.96,215.58,0.2268
30-04-2020,8637.56,206.44,0.2116
01-05-2020,8829.12,212.16,0.2179
02-05-2020,8981.11,214.11,0.2239
03-05-2020,8907.19,210.12,0.2194
04-05-2020,8881.65,206.76,0.2181
05-05-2020,9029.75,205.43,0.2172
06-05-2020,9153.2,199.08,0.2119
07-05-2020,9999.93,212.3,0.2188
08-05-2020,9808.18,211.46,0.2188
09-05-2020,9541.13,210.19,0.2165
10-05-2020,8735.05,187.72,0.1975
11-05-2020,8568.88,185.77,0.1932
12-05-2020,8821.18,190.1,0.1972
13-05-2020,9317.44,199.86,0.2019
14-05-2020,9793.19,203.31,0.204
15-05-2020,9311.69,194.71,0.1979
16-05-2020,9387.08,200.6,0.1996
17-05-2020,9670.56,206.76,0.2013
18-05-2020,9722.73,214.68,0.2054
19-05-2020,9780.2,214.68,0.2051
20-05-2020,9509.45,209.87,0.2016
21-05-2020,9059.11,198.56,0.1941
22-05-2020,9170.74,207.35,0.2002
