Ticker,AAPL,AMZN,GOOGL,INFY.NS,MSFT,RELIANCE.NS,TCS.NS,TSLA
28-09-2020,111.8236,158.7025,72.4334,898.6018,200.8164,1004.9171,2256.1423,140.4
29-09-2020,110.9774,157.244,72.7989,897.3566,198.7261,1017.9759,2313.8877,139.69
30-09-2020,112.6505,157.4365,72.7781,896.6896,201.6698,1013.1241,2317.5142,143.0033
01-10-2020,113.6037,161.063,73.8854,905.0495,203.712,1008.9979,2346.4792,149.3867
02-10-2020,109.9366,156.25,72.2815,905.0495,197.7002,1008.9979,2346.4792,138.3633
05-10-2020,113.3216,159.96,73.6336,932.6638,201.7177,1003.0807,2516.0413,141.8933
06-10-2020,110.0728,154.998,72.054,938.934,197.4317,1002.2418,2523.9451,137.9933
07-10-2020,111.9404,159.7845,72.4573,948.5389,201.1904,1023.621,2544.0767,141.7667
08-10-2020,111.8334,159.5275,73.6634,972.6845,201.9095,1015.3459,2627.532,141.9733
09-10-2020,113.7788,164.3325,75.0052,984.3354,206.9241,1012.7161,2615.677,144.6667
12-10-2020,121.0061,172.1465,77.6936,1006.8359,212.2839,1014.3484,2631.5305,147.4333
13-10-2020,117.7961,172.1815,77.8168,1029.6923,213.6839,1034.1407,2628.323,148.8833
14-10-2020,117.8837,168.1855,77.6365,1011.1938,211.7662,1037.2241,2623.7,153.7667
15-10-2020,117.4168,166.9325,77.2408,985.6247,210.6156,1000.496,2559.2659,149.6267
16-10-2020,115.7729,163.6355,77.8481,1002.7451,210.6156,986.5757,2580.4639,146.5567
19-10-2020,112.8158,160.3605,75.9735,1001.3219,205.3996,986.757,2532.1379,143.61
20-10-2020,114.3041,160.8505,77.0228,1011.6382,205.8119,977.5525,2557.7717,140.6467
21-10-2020,113.6815,159.247,78.7563,1021.288,205.9557,963.36,2498.3799,140.88
22-10-2020,112.5921,158.82,79.7827,1004.1234,206.042,955.357,2494.4111,141.93
23-10-2020,111.9014,160.22,81.0897,1009.0224,207.3268,958.123,2509.0261,140.21
26-10-2020,111.9112,160.352,78.6719,999.9882,201.4301,920.0574,2510.3333,140.0933
27-10-2020,113.4189,164.3165,79.3964,980.5719,204.4695,922.5059,2456.1235,141.56
28-10-2020,108.1662,158.139,75.0226,967.7178,194.3347,912.0543,2448.7,135.34
29-10-2020,112.1738,160.5505,77.3108,966.1895,196.2907,919.0598,2458.4585,136.9433
30-10-2020,105.89,151.8075,80.252,953.3801,194.1334,931.5746,2488.5276,129.3467
02-11-2020,105.8025,150.224,80.6597,963.8974,193.9991,851.2946,2432.2651,133.5033
03-11-2020,107.427,152.4205,81.7194,955.1331,197.9303,839.0292,2459.3455,141.3
04-11-2020,111.8139,162.058,86.6946,983.3585,207.4803,867.5046,2477.6018,140.3267
05-11-2020,115.7826,166.1,87.5214,992.3926,214.0961,886.4581,2507.9976,146.03
06-11-2020,115.6511,165.5685,87.3838,1000.2582,214.5084,920.0801,2528.3091,143.3167
09-11-2020,113.3418,157.187,87.4677,1021.6521,209.3979,929.8515,2546.1924,140.42
10-11-2020,113.0007,151.751,86.2908,980.7518,202.3217,945.2001,2474.2869,136.7867
11-11-2020,116.4306,156.8695,86.7631,1009.0224,207.6337,905.5928,2509.9595,139.0433
12-11-2020,116.1578,155.514,86.5441,1004.7526,206.5694,897.7938,2494.3176,137.2533
13-11-2020,116.2065,156.4405,88.006,1010.5505,207.5953,905.2301,2481.0569,136.1667
14-11-2020,116.2065,156.4405,88.006,1018.8655,207.5953,907.9055,2493.6643,136.1667
16-11-2020,117.2198,156.553,88.0939,1018.8655,208.2856,907.9055,2493.6643,136.03
17-11-2020,116.3331,156.783,87.4796,1010.1011,205.6297,903.8019,2489.6487,147.2033
18-11-2020,115.008,155.273,86.4358,998.2805,202.9187,901.0586,2452.8552,162.2133
19-11-2020,115.6023,155.851,87.3262,985.8756,204.2069,894.6879,2462.4272,166.4233
20-11-2020,114.3356,154.97,86.2243,991.8083,202.2554,861.2927,2484.2327,163.2033
23-11-2020,110.935,154.9195,85.7863,1024.6185,201.9862,884.5084,2543.9978,173.95
24-11-2020,112.2212,155.903,87.5909,1024.7983,205.5912,890.5617,2541.9438,185.1267
25-11-2020,113.0592,159.2535,87.6023,1002.8649,205.6008,883.1934,2522.5662,191.3333
26-11-2020,113.0592,159.2535,87.6023,1000.6625,205.6008,885.3698,2540.5891,191.3333
27-11-2020,113.6048,159.767,88.739,988.7971,206.9082,875.0316,2502.3486,195.2533
30-11-2020,116.0018,158.402,87.1191,988.7971,205.7931,875.0316,2502.3486,189.2
01-12-2020,119.5779,161.004,89.1531,1022.8203,207.8504,886.4128,2546.3787,194.92
02-12-2020,119.9287,160.1765,90.6235,1025.5624,207.0428,887.8865,2567.6238,189.6067
